batsman,runs,balls,minutes,fours,sixes,strike_rate,inning,series
Joe Root ,7,40,61,1,0,17.50,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Jonny Bairstow ,4,3,9,1,0,133.33,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ben Stokes (c),15,39,53,1,0,38.46,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ben Foakes †,16,39,55,2,0,41.02,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Rehan Ahmed ,0,5,8,0,0,0.00,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Tom Hartley ,16,36,42,2,1,44.44,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Mark Wood ,33,15,16,6,1,220.00,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
James Anderson ,1,9,13,0,0,11.11,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Neil Brand (c),25,38,55,5,0,65.78,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Clyde Fortuin †,0,1,5,0,0,0.00,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Raynard van Tonder ,32,71,110,3,0,45.07,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Zubayr Hamza ,20,99,142,3,0,20.20,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
David Bedingham ,39,102,153,7,0,38.23,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Keegan Petersen ,2,6,9,0,0,33.33,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Ruan de Swardt ,64,156,221,9,0,41.02,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Shaun von Berg ,38,89,132,7,0,42.69,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Dane Piedt ,4,6,12,1,0,66.66,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Tshepo Moreki ,4,15,18,1,0,26.66,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Dane Paterson ,0,1,2,0,0,0.00,South Africa 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Tom Latham ,40,104,134,1,1,38.46,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Devon Conway ,0,3,3,0,0,0.00,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Kane Williamson ,43,108,147,7,0,39.81,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Rachin Ravindra ,29,73,93,4,0,39.72,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Will Young ,36,73,109,3,1,49.31,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Tom Blundell †,4,10,16,0,0,40.00,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Glenn Phillips ,4,4,6,1,0,100.00,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Matt Henry ,10,28,41,1,0,35.71,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Tim Southee (c),5,15,13,0,0,33.33,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Neil Wagner ,33,27,42,3,2,122.22,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
William O’Rourke ,0,20,24,0,0,0.00,New Zealand 1st Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Neil Brand (c),34,60,79,6,0,56.66,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Clyde Fortuin †,3,24,43,0,0,12.50,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Raynard van Tonder ,1,13,15,0,0,7.69,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Zubayr Hamza ,17,63,99,2,0,26.98,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
David Bedingham ,110,141,222,12,2,78.01,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Keegan Petersen ,43,79,114,6,0,54.43,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Ruan de Swardt ,1,6,15,0,0,16.66,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Shaun von Berg ,2,22,34,0,0,9.09,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Dane Piedt ,2,7,12,0,0,28.57,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Dane Paterson ,7,3,11,0,1,233.33,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Tshepo Moreki ,0,3,4,0,0,0.00,South Africa 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Tom Latham ,30,57,82,5,0,52.63,New Zealand 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Devon Conway ,17,44,58,3,0,38.63,New Zealand 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Kane Williamson ,133,260,362,12,2,51.15,New Zealand 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Rachin Ravindra ,20,72,129,0,0,27.77,New Zealand 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Will Young ,60,134,208,8,0,44.77,New Zealand 2nd Innings,"New Zealand vs South Africa, 2nd Test at Hamilton, Feb 13 2024, South Africa tour of New Zealand"
Tom Latham ,20,48,79,4,0,41.66,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Devon Conway ,1,2,5,0,0,50.00,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Kane Williamson ,118,289,424,16,0,40.83,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Rachin Ravindra ,240,366,546,26,3,65.57,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Daryl Mitchell ,34,75,112,3,1,45.33,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Tom Blundell †,11,14,18,1,0,78.57,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Glenn Phillips ,39,42,54,2,2,92.85,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Mitchell Santner ,2,9,20,0,0,22.22,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Kyle Jamieson ,8,12,21,1,0,66.66,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Matt Henry ,27,9,9,1,3,300.00,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Tim Southee (c),0,2,2,0,0,0.00,New Zealand 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Edward Moore ,23,50,66,4,0,46.00,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Neil Brand (c),4,23,41,0,0,17.39,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Raynard van Tonder ,0,2,3,0,0,0.00,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Zubayr Hamza ,22,38,62,4,0,57.89,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
David Bedingham ,32,58,80,5,0,55.17,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Keegan Petersen ,45,132,171,6,0,34.09,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Ruan de Swardt ,0,2,4,0,0,0.00,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Clyde Fortuin †,9,52,79,1,0,17.30,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Duanne Olivier ,15,56,75,3,0,26.78,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Tshepo Moreki ,5,19,20,1,0,26.31,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Dane Paterson ,1,6,7,0,0,16.66,South Africa 1st Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Tom Latham ,3,13,20,0,0,23.07,New Zealand 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Devon Conway ,29,68,139,0,1,42.64,New Zealand 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Kane Williamson ,109,132,170,12,1,82.57,New Zealand 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Rachin Ravindra ,12,26,29,1,0,46.15,New Zealand 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Daryl Mitchell ,11,17,27,1,0,64.70,New Zealand 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Tom Blundell †,5,4,5,1,0,125.00,New Zealand 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Edward Moore ,0,8,17,0,0,0.00,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Neil Brand (c),3,8,12,0,0,37.50,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Raynard van Tonder ,31,83,119,2,0,37.34,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Zubayr Hamza ,36,92,126,4,0,39.13,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
David Bedingham ,87,96,113,13,3,90.62,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Keegan Petersen ,16,63,113,1,0,25.39,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Ruan de Swardt ,34,56,101,4,0,60.71,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Clyde Fortuin †,11,19,29,2,0,57.89,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Duanne Olivier ,1,9,10,0,0,11.11,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Tshepo Moreki ,6,31,33,1,0,19.35,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Dane Paterson ,15,17,16,3,0,88.23,South Africa 2nd Innings,"New Zealand vs South Africa, 1st Test at Mount Maunganui, Feb 04 2024, South Africa tour of New Zealand"
Yashasvi Jaiswal ,209,290,423,19,7,72.06,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Rohit Sharma (c),14,41,68,0,0,34.14,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Shubman Gill ,34,46,42,5,0,73.91,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Shreyas Iyer ,27,59,87,3,0,45.76,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Rajat Patidar ,32,72,78,3,0,44.44,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Axar Patel ,27,51,54,4,0,52.94,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Srikar Bharat †,17,23,24,2,1,73.91,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ravichandran Ashwin ,20,37,43,4,0,54.05,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Kuldeep Yadav ,8,42,50,0,0,19.04,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Jasprit Bumrah ,6,9,18,1,0,66.66,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Mukesh Kumar ,0,3,6,0,0,0.00,India 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Zak Crawley ,76,78,89,11,2,97.43,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ben Duckett ,21,17,44,4,0,123.52,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ollie Pope ,23,55,71,2,0,41.81,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Joe Root ,5,10,15,1,0,50.00,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Jonny Bairstow ,25,39,46,4,0,64.10,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ben Stokes (c),47,54,98,5,1,87.03,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ben Foakes †,6,10,13,1,0,60.00,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Rehan Ahmed ,6,15,18,1,0,40.00,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Tom Hartley ,21,24,41,2,1,87.50,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
James Anderson ,6,19,34,1,0,31.57,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Shoaib Bashir ,8,15,23,1,0,53.33,England 1st Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Yashasvi Jaiswal ,17,27,38,3,0,62.96,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Rohit Sharma (c),13,21,28,3,0,61.90,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Shubman Gill ,104,147,200,11,2,70.74,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Shreyas Iyer ,29,52,75,2,0,55.76,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Rajat Patidar ,9,19,14,1,0,47.36,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Axar Patel ,45,84,118,6,0,53.57,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Srikar Bharat †,6,28,37,1,0,21.42,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ravichandran Ashwin ,29,61,77,2,1,47.54,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Kuldeep Yadav ,0,5,7,0,0,0.00,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Jasprit Bumrah ,0,26,45,0,0,0.00,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Mukesh Kumar ,0,2,7,0,0,0.00,India 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Zak Crawley ,73,132,174,8,1,55.30,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ben Duckett ,28,27,51,6,0,103.70,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Rehan Ahmed ,23,31,44,5,0,74.19,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ollie Pope ,23,21,26,5,0,109.52,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Joe Root ,16,10,11,2,1,160.00,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Jonny Bairstow ,26,36,48,5,0,72.22,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ben Stokes (c),11,29,49,1,0,37.93,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Ben Foakes †,36,69,98,4,1,52.17,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Tom Hartley ,36,47,84,5,1,76.59,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Shoaib Bashir ,0,8,16,0,0,0.00,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
James Anderson ,5,8,14,1,0,62.50,England 2nd Innings,"India vs England, 2nd Test at Visakhapatnam, Feb 02 2024, England tour of India"
Kraigg Brathwaite (c),4,25,34,0,0,16.00,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Tagenarine Chanderpaul ,21,48,89,2,0,43.75,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kirk McKenzie ,21,25,35,3,1,84.00,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Alick Athanaze ,8,22,30,1,0,36.36,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kavem Hodge ,71,194,277,8,1,36.59,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Justin Greaves ,6,10,19,1,0,60.00,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Joshua Da Silva †,79,157,217,7,0,50.31,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kevin Sinclair ,50,98,135,5,1,51.02,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Alzarri Joseph ,32,22,24,7,0,145.45,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kemar Roach ,8,40,67,1,0,20.00,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Shamar Joseph ,3,9,14,0,0,33.33,West Indies 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Steven Smith ,6,6,4,1,0,100.00,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Usman Khawaja ,75,131,224,10,0,57.25,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Marnus Labuschagne ,3,3,5,0,0,100.00,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Cameron Green ,8,14,13,1,0,57.14,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Travis Head ,0,1,2,0,0,0.00,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Mitchell Marsh ,21,20,28,3,1,105.00,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Alex Carey †,65,49,74,9,1,132.65,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Mitchell Starc ,2,8,15,0,0,25.00,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Pat Cummins (c),64,73,108,8,1,87.67,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Nathan Lyon ,19,19,29,1,0,100.00,Australia 1st Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kraigg Brathwaite (c),16,54,92,2,0,29.62,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Tagenarine Chanderpaul ,4,26,36,0,0,15.38,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kirk McKenzie ,41,50,90,6,0,82.00,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Alick Athanaze ,35,72,94,3,0,48.61,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kavem Hodge ,29,74,100,4,0,39.18,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Justin Greaves ,33,60,94,4,0,55.00,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Joshua Da Silva †,7,8,11,1,0,87.50,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kevin Sinclair ,14,59,88,3,0,23.72,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Alzarri Joseph ,0,4,6,0,0,0.00,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Kemar Roach ,1,17,20,0,0,5.88,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Shamar Joseph ,3,14,15,0,0,21.42,West Indies 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Steven Smith ,91,146,251,9,1,62.32,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Usman Khawaja ,10,17,24,1,0,58.82,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Marnus Labuschagne ,5,12,21,0,0,41.66,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Cameron Green ,42,73,97,4,0,57.53,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Travis Head ,0,1,2,0,0,0.00,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Mitchell Marsh ,10,12,18,2,0,83.33,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Alex Carey †,2,5,8,0,0,40.00,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Mitchell Starc ,21,14,24,4,0,150.00,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Pat Cummins (c),2,8,9,0,0,25.00,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Nathan Lyon ,9,20,25,1,0,45.00,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Josh Hazlewood ,0,6,14,0,0,0.00,Australia 2nd Innings,"Australia vs West Indies, 2nd Test at Brisbane, Jan 25 2024, West Indies tour of Australia"
Zak Crawley ,20,40,71,3,0,50.00,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ben Duckett ,35,39,53,7,0,89.74,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ollie Pope ,1,11,8,0,0,9.09,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Joe Root ,29,60,81,1,0,48.33,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
